Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,s1-brdr1,Ethernet2,172.30.255.57/31,spine,s1-spine1,Ethernet7,172.30.255.56/31
l3leaf,s1-brdr1,Ethernet3,172.30.255.59/31,spine,s1-spine2,Ethernet7,172.30.255.58/31
l3leaf,s1-brdr1,Ethernet4,172.16.30.0/31,super-spine,s1-core1,Ethernet2,172.16.30.1/31
l3leaf,s1-brdr2,Ethernet2,172.30.255.61/31,spine,s1-spine1,Ethernet8,172.30.255.60/31
l3leaf,s1-brdr2,Ethernet3,172.30.255.63/31,spine,s1-spine2,Ethernet8,172.30.255.62/31
l3leaf,s1-brdr2,Ethernet5,172.16.30.2/31,super-spine,s1-core2,Ethernet3,172.16.30.3/31
l3leaf,s1-leaf1,Ethernet2,172.30.255.41/31,spine,s1-spine1,Ethernet2,172.30.255.40/31
l3leaf,s1-leaf1,Ethernet3,172.30.255.43/31,spine,s1-spine2,Ethernet2,172.30.255.42/31
l3leaf,s1-leaf2,Ethernet2,172.30.255.45/31,spine,s1-spine1,Ethernet3,172.30.255.44/31
l3leaf,s1-leaf2,Ethernet3,172.30.255.47/31,spine,s1-spine2,Ethernet3,172.30.255.46/31
l3leaf,s1-leaf3,Ethernet2,172.30.255.49/31,spine,s1-spine1,Ethernet4,172.30.255.48/31
l3leaf,s1-leaf3,Ethernet3,172.30.255.51/31,spine,s1-spine2,Ethernet4,172.30.255.50/31
l3leaf,s1-leaf4,Ethernet2,172.30.255.53/31,spine,s1-spine1,Ethernet5,172.30.255.52/31
l3leaf,s1-leaf4,Ethernet3,172.30.255.55/31,spine,s1-spine2,Ethernet5,172.30.255.54/31
l3leaf,s2-brdr1,Ethernet2,172.32.255.217/31,spine,s2-spine1,Ethernet7,172.32.255.216/31
l3leaf,s2-brdr1,Ethernet3,172.32.255.219/31,spine,s2-spine2,Ethernet7,172.32.255.218/31
l3leaf,s2-brdr1,Ethernet4,172.16.30.4/31,super-spine,s2-core1,Ethernet2,172.16.30.5/31
l3leaf,s2-brdr2,Ethernet2,172.32.255.221/31,spine,s2-spine1,Ethernet8,172.32.255.220/31
l3leaf,s2-brdr2,Ethernet3,172.32.255.223/31,spine,s2-spine2,Ethernet8,172.32.255.222/31
l3leaf,s2-brdr2,Ethernet5,172.16.30.6/31,super-spine,s2-core2,Ethernet3,172.16.30.7/31
l3leaf,s2-leaf1,Ethernet2,172.32.255.201/31,spine,s2-spine1,Ethernet2,172.32.255.200/31
l3leaf,s2-leaf1,Ethernet3,172.32.255.203/31,spine,s2-spine2,Ethernet2,172.32.255.202/31
l3leaf,s2-leaf2,Ethernet2,172.32.255.205/31,spine,s2-spine1,Ethernet3,172.32.255.204/31
l3leaf,s2-leaf2,Ethernet3,172.32.255.207/31,spine,s2-spine2,Ethernet3,172.32.255.206/31
l3leaf,s2-leaf3,Ethernet2,172.32.255.209/31,spine,s2-spine1,Ethernet4,172.32.255.208/31
l3leaf,s2-leaf3,Ethernet3,172.32.255.211/31,spine,s2-spine2,Ethernet4,172.32.255.210/31
l3leaf,s2-leaf4,Ethernet2,172.32.255.213/31,spine,s2-spine1,Ethernet5,172.32.255.212/31
l3leaf,s2-leaf4,Ethernet3,172.32.255.215/31,spine,s2-spine2,Ethernet5,172.32.255.214/31
